a b paa pbb pab acore bcore sbm_pmat na N taa tbb cp_sbm core
03 07 0.974934701074566 0.01233233792556318 0.01273296099987085 "(0.01519922465367172, 0.020100502512562814)" "(1.1940507527115274, 0.5025125628140703)" "(0.0005233257625759443, 3.054135007674502e-05, 0.0005288606573673545)" 0.9193763919821828 36139 0.993512205406988 0.6595249841426457 0 a
03 67 0.9031229553821666 0.045528451314902886 0.05134859330293058 "(0.055789385564668975, 0.07537688442211056)" "(1.1060953506966904, 0.5025125628140703)" "(0.0004990299046432403, 6.295271959834172e-05, 0.000495446088244716)" 0.8947500513358735 37463 0.9723574799610458 0.639419862508786 0 a
05 67 0.8458168271374977 0.062118681369934085 0.0920644914925682 "(0.0761619260857793, 0.12562814070351758)" "(1.0359154283437355, 0.5125628140703518)" "(0.00023047943938840764, 6.190073996148077e-05, 0.0004122731810704585)" 0.9046866197822966 46554 0.9483856101375544 0.5743703084780939 0 a
05 87 0.8943525715996161 0.04669828642315134 0.058949141977232535 "(0.05725632411437394, 0.08040201005025126)" "(1.0953555461358848, 0.507537688442211)" "(0.00022640580541347707, 3.537641543069648e-05, 0.00026576885861258294)" 0.8742163766309025 47071 0.9680951450440836 0.6130567765196784 0 a
05 89 0.9201291943753491 0.025055205848012588 0.054815599776638406 "(0.03081847036286714, 0.06532663316582915)" "(1.126928277238484, 0.5125628140703518)" "(0.0002388806045480722, 5.829042945845873e-05, 0.00043660939658391986)" 0.9447575671316064 44266 0.9710746914851406 0.4775785431344682 0 a
12 13 0.6542515933205926 0.11687521799162336 0.2288731886877841 "(0.1431477169794074, 0.2864321608040201)" "(0.8012952819984236, 0.5577889447236181)" "(0.0003882515990855188, 0.00010349638095836356, 0.00016110406787970063)" 0.7370698699118758 33816 0.8511274191794383 0.5052712907808489 0 a
12 14 0.65754206452211 0.1237629785853342 0.21869495689255586 "(0.1515826245273964, 0.2814070351758794)" "(0.8053213635929966, 0.5477386934673367)" "(0.0004069099010445921, 0.00010742998254089877, 0.00019305593077639118)" 0.7615370024117281 32802 0.8574143050340363 0.530919891631248 0 a
13 14 0.5848400100295099 0.19189924200050149 0.22326074796998865 "(0.2350520714122984, 0.32160804020100503)" "(0.7162848809791381, 0.5175879396984925)" "(0.0004607881644922842, 0.00013215495420808117, 0.00034139214703770134)" 0.6931829865990334 25997 0.8397198552197597 0.6322257595109646 0 a
13 96 0.9548009809469912 0.021021190970257186 0.024177828082751682 "(0.025754823452757133, 0.035175879396984924)" "(1.1693883509983634, 0.5025125628140703)" "(0.0007632881301698372, 0.00010346796358713446, 0.001927408814190987)" 0.9464645046562776 19008 0.9874971140933052 0.6348874750735922 0 a
14 96 0.9633944624235886 0.012614167565623877 0.023991370010787487 "(0.015450549040570733, 0.03015075376884422)" "(1.1799153247541725, 0.507537688442211)" "(0.000863602334049699, 9.874598518833902e-05, 0.0009540889565563155)" 0.9495531701126328 16802 0.9877016545256142 0.5125657510227937 0 a
21 23 0.8724940691884564 0.0382613380606029 0.08924459275094067 "(0.04696145244273563, 0.11055276381909548)" "(1.0685869485559922, 0.5276381909547738)" "(0.0008360990329176147, 0.00014742294782447797, 0.0004359291563142155)" 0.8827950675278919 14878 0.9513450004263828 0.4616271755084924 0 a
21 27 0.8230384520783799 0.049217020578830865 0.1277445273427892 "(0.060320709489345606, 0.15075376884422112)" "(1.0080145850184579, 0.5376884422110553)" "(0.0007593383848480881, 0.0001401875864841388, 0.00025703060924989066)" 0.8348975398456155 15745 0.9279834344797622 0.4352049878565991 0 a
32 33 0.761191051435006 0.11371718942649647 0.12509175913849752 "(0.13928239760483777, 0.18090452261306533)" "(0.9322685091560041, 0.507537688442211)" "(0.0006490455760648205, 0.00012753477175388476, 0.0005546073231732951)" 0.7557692307692307 19000 0.9240705652313096 0.6451560731036713 0 a
32 37 0.8860794135208652 0.029846414117959262 0.0840741723611756 "(0.03661616453296738, 0.10050251256281408)" "(1.0852214706703962, 0.5276381909547738)" "(0.0007202762271161783, 0.00027197926755001355, 0.0015377936613333127)" 0.9047853971386284 15989 0.9547071017548876 0.415205353022612 0 a
37 39 0.6055448098001289 0.136428110896196 0.258027079303675 "(0.16709054892718614, 0.32663316582914576)" "(0.7416433726047224, 0.5628140703517588)" "(0.0028245325326481316, 0.0008445261537214861, 0.0012549655952012392)" 0.7725563909774437 2174 0.8243658386728694 0.5139664804469275 0 a
47 51 0.9438877030498172 0.025270431605224124 0.030841865344958575 "(0.031048517172615742, 0.04522613065326633)" "(1.1560216880228789, 0.5025125628140703)" "(0.0006734417296606143, 9.946172249152723e-05, 0.0014745993143165967)" 0.9221243808475508 11468 0.9839249516805731 0.6210268948655258 0 a
61 62 0.8356709343970491 0.06313667460164275 0.1011923910013082 "(0.07738373415353221, 0.1306532663316583)" "(1.0234857168640101, 0.5175879396984925)" "(0.00021142330969403086, 5.283491526931487e-05, 0.00027216259459331534)" 0.8816830995695042 36265 0.9429108969589178 0.5551312874180927 0 a
61 65 0.9384042495593428 0.015665136648839853 0.04593061379181732 "(0.019304774191095532, 0.05527638190954774)" "(1.1493110368441164, 0.5175879396984925)" "(0.0002333881188714289, 4.68213830772865e-05, 0.00026187777629161355)" 0.9469052945563012 33828 0.9761118846111728 0.4055127306704041 0 a
61 66 0.9180426298408886 0.03090987220466091 0.05104749795445047 "(0.03789320935250842, 0.06532663316582915)" "(1.1243735346368162, 0.5125628140703518)" "(0.0002283789040169058, 4.395038040569597e-05, 0.00036849663268745484)" 0.9251056389334109 34541 0.9729497049172148 0.5477208720141858 0 a
